temperature,humidity,rainfall,wind_speed,month,crop,region,state,latitude,longitude,pesticide_applications,past_disease_occurrences,leaf_wetness_hours,consecutive_wet_days,soil_moisture,night_temperature,days_since_rain,morning_dew_hours,soil_ph,nitrogen_level,growth_stage,in_high_risk_region,soil_type,ann_rainfall_mm,disease,severity,is_diseased
29.1,93.4,27.1,15.4,5,Tomato,Latur,Maharashtra,18.4,76.56,0,3,12.9,7,61.7,9.0,2.0,6.1,6.7,211.4,2,1,black_cotton,742,Tomato___Bacterial_spot,46.0,1
17.4,76.2,7.2,6.0,4,Strawberry,Visakhapatnam,Andhra Pradesh,17.68,83.21,4,1,3.7,0,43.6,6.8,8.4,1.8,6.26,101.2,2,0,red_laterite,1012,Strawberry___healthy,0.0,0
28.8,96.1,15.3,15.0,4,Peach,Solan,Himachal Pradesh,30.9,77.1,6,0,10.0,2,75.6,5.5,1.1,7.2,6.67,123.4,2,1,red_laterite,1106,Peach___Bacterial_spot,25.7,1
19.1,87.1,16.2,0.9,4,Tomato,Kanpur,Uttar Pradesh,26.44,80.33,0,0,14.3,6,68.6,4.0,5.0,3.4,6.86,173.6,2,1,alluvial,792,Tomato___Septoria_leaf_spot,66.4,1
25.8,81.5,33.3,24.0,8,Tomato,Gaya,Bihar,24.79,84.99,4,0,11.2,5,69.4,7.7,0.9,5.0,6.27,143.4,2,0,alluvial,968,Tomato___Bacterial_spot,34.1,1
29.5,44.5,13.6,13.7,5,Squash,Mysore,Karnataka,12.29,76.64,7,1,4.0,0,42.8,7.8,10.2,2.8,6.79,180.0,2,0,red_laterite,752,Squash___Powdery_mildew,34.6,1
20.6,60.0,10.5,4.0,6,Potato,Latur,Maharashtra,18.4,76.56,1,1,4.9,2,58.8,4.2,4.2,3.7,6.7,150.7,2,0,black_cotton,742,Potato___healthy,0.0,0
26.5,57.1,10.4,9.8,9,Tomato,Bangalore,Karnataka,12.97,77.59,2,1,3.9,1,51.7,11.0,6.5,2.1,6.29,189.3,2,0,red_laterite,948,Tomato___healthy,0.0,0
20.5,70.6,5.3,14.8,3,Cherry,Shimla,Himachal Pradesh,31.1,77.17,5,4,0.0,2,59.5,1.8,15.4,0.7,5.52,126.1,2,1,red_laterite,1575,Cherry_(including_sour)___Powdery_mildew,32.2,1
29.1,49.4,3.4,13.4,2,Squash,Bathinda,Punjab,30.21,74.94,0,3,1.0,1,46.9,9.8,22.9,2.2,6.2,232.3,2,0,alluvial,404,Squash___Powdery_mildew,54.8,1
24.1,52.5,9.1,10.7,4,Raspberry,Warangal,Telangana,17.97,79.59,3,1,5.3,1,47.9,7.6,6.9,4.6,6.7,102.3,2,0,black_cotton,1058,Raspberry___healthy,0.0,0
27.8,74.8,12.0,5.8,6,Apple,Shimla,Himachal Pradesh,31.1,77.17,3,0,11.6,6,77.3,11.8,3.5,6.0,6.07,152.5,3,1,red_laterite,1575,Apple___Black_rot,74.3,1
28.5,68.7,20.7,6.9,5,Strawberry,Solapur,Maharashtra,17.66,75.9,4,3,4.9,5,74.1,10.5,4.0,3.2,6.7,149.4,2,1,black_cotton,520,Strawberry___Leaf_scorch,38.3,1
26.6,52.5,10.6,11.1,11,Grape,Kota,Rajasthan,25.18,75.83,0,1,5.8,2,44.7,14.4,12.1,1.5,6.78,142.4,2,0,black_cotton,680,Grape___healthy,0.0,0
30.1,59.9,14.6,7.5,2,Tomato,Vadodara,Gujarat,22.3,73.18,3,1,2.2,2,63.8,15.4,15.1,3.9,6.81,137.6,1,0,black_cotton,921,Tomato___Tomato_mosaic_virus,60.9,1
22.6,94.5,12.7,6.2,7,Grape,Vijayawada,Andhra Pradesh,16.5,80.64,3,0,14.6,7,70.1,6.2,3.9,5.9,6.2,149.9,2,1,alluvial,1012,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),50.6,1
29.2,76.0,52.8,21.1,12,Orange,Patiala,Punjab,30.33,76.39,0,2,4.8,1,42.7,10.5,14.9,4.2,6.2,96.5,2,1,alluvial,726,Orange___Haunglongbing_(Citrus_greening),96.0,1
24.7,50.6,7.3,15.8,3,Squash,Karnal,Haryana,29.68,76.99,2,2,3.2,0,31.2,4.0,14.8,3.4,6.23,281.2,2,0,alluvial,772,Squash___Powdery_mildew,36.7,1
16.7,72.9,7.1,26.5,9,Corn,Amravati,Maharashtra,20.93,77.75,5,1,6.8,2,69.0,5.5,4.2,7.3,6.7,227.9,2,1,black_cotton,788,Corn_(maize)___Common_rust_,48.4,1
14.5,69.7,22.7,7.0,5,Apple,Jalandhar,Punjab,31.32,75.57,0,0,5.6,0,63.0,4.4,3.4,2.9,6.2,162.4,2,0,alluvial,698,Apple___healthy,0.0,0
19.9,67.7,18.2,7.1,8,Blueberry,Bangalore,Karnataka,12.97,77.59,1,3,3.5,2,55.9,9.7,5.0,1.2,5.36,98.4,2,0,red_laterite,948,Blueberry___healthy,0.0,0
21.1,85.0,39.9,18.9,6,Grape,Nagpur,Maharashtra,21.14,79.08,1,0,18.5,3,76.2,8.4,2.0,7.0,6.7,173.7,3,1,black_cotton,1025,Grape___Black_rot,84.5,1
24.7,55.4,11.5,3.2,11,Potato,Muzaffarpur,Bihar,26.12,85.36,0,2,5.3,2,62.8,10.4,11.7,2.5,6.2,169.7,2,0,alluvial,1068,Potato___healthy,0.0,0
21.4,58.5,11.5,4.0,8,Squash,Mysore,Karnataka,12.29,76.64,2,1,2.7,0,49.6,1.2,12.7,1.4,6.26,129.7,2,0,red_laterite,752,Squash___Powdery_mildew,58.3,1
32.0,81.2,36.4,18.1,7,Grape,Surat,Gujarat,21.17,72.83,2,3,18.0,3,78.6,13.2,2.9,10.7,6.83,133.1,3,0,alluvial,1168,Grape___Black_rot,76.2,1
23.6,86.6,11.0,18.1,4,Tomato,Akola,Maharashtra,20.7,77.0,6,2,4.0,2,72.3,2.0,3.8,3.7,6.7,91.3,2,1,black_cotton,820,Tomato___Early_blight,44.7,1
27.9,93.5,51.0,3.5,6,Corn,Nagpur,Maharashtra,21.14,79.08,1,1,13.0,11,75.5,7.8,0.6,11.3,6.7,159.7,3,1,black_cotton,1025,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,64.3,1
32.1,56.7,2.4,18.0,11,Tomato,Latur,Maharashtra,18.4,76.56,2,1,0.4,1,58.2,7.3,16.4,0.8,7.08,139.1,1,1,black_cotton,742,Tomato___Tomato_Yellow_Leaf_Curl_Virus,75.0,1
23.3,90.2,40.7,30.8,6,Tomato,Bathinda,Punjab,30.21,74.94,0,5,13.1,4,80.2,0.4,1.4,3.7,7.37,186.9,2,0,alluvial,404,Tomato___Bacterial_spot,64.6,1
22.2,60.5,19.9,7.8,3,Tomato,Bangalore,Karnataka,12.97,77.59,2,0,5.2,2,51.9,6.0,7.0,1.4,6.54,130.4,2,0,red_laterite,948,Tomato___healthy,0.0,0
20.7,81.5,7.1,23.7,3,Wheat,Hyderabad,Telangana,17.38,78.47,5,2,14.1,7,56.6,8.2,5.1,9.4,6.28,186.8,2,0,red_laterite,812,Wheat___Leaf_rust,49.7,1
10.3,68.9,15.1,5.6,6,Blueberry,Visakhapatnam,Andhra Pradesh,17.68,83.21,3,0,5.9,1,47.4,0.0,9.1,1.5,5.34,81.4,2,0,red_laterite,1012,Blueberry___healthy,0.0,0
23.4,67.7,13.4,13.8,10,Grape,Pune,Maharashtra,18.52,73.85,2,0,2.1,2,40.3,4.5,23.6,1.5,6.8,95.5,2,1,red_laterite,722,Grape___Esca_(Black_Measles),72.3,1
24.5,94.9,19.2,11.4,10,Corn,Nashik,Maharashtra,19.99,73.79,3,3,11.8,3,68.1,9.7,1.4,11.9,6.69,100.2,2,1,red_laterite,620,Corn_(maize)___Northern_Leaf_Blight,58.4,1
20.7,49.2,4.2,6.2,11,Strawberry,Varanasi,Uttar Pradesh,25.31,82.97,2,1,5.6,0,49.9,10.6,6.8,2.2,6.2,164.8,2,0,alluvial,1110,Strawberry___healthy,0.0,0
14.4,91.7,43.0,2.6,7,Potato,Kullu,Himachal Pradesh,31.95,77.1,1,0,15.7,8,91.3,3.6,0.8,9.3,4.95,175.1,3,1,red_laterite,1262,Potato___Late_blight,90.0,1
17.1,87.9,13.2,34.3,2,Wheat,Agra,Uttar Pradesh,27.17,78.01,3,1,15.4,5,60.7,7.0,8.8,11.1,7.07,173.8,2,1,alluvial,660,Wheat___Leaf_rust,49.9,1
22.8,80.0,14.6,14.1,9,Tomato,Sangli,Maharashtra,16.86,74.56,1,2,6.8,1,53.2,5.0,8.8,5.2,6.7,118.1,2,1,black_cotton,580,Tomato___Early_blight,48.0,1
31.6,62.0,15.9,5.1,9,Soybean,Udaipur,Rajasthan,24.57,73.68,7,0,5.2,1,47.7,9.6,10.2,4.9,6.35,98.4,2,0,red_laterite,612,Soybean___healthy,0.0,0
27.0,53.8,10.0,7.4,3,Grape,Nagpur,Maharashtra,21.14,79.08,2,2,4.5,0,41.8,6.7,29.5,0.4,6.7,91.2,2,1,black_cotton,1025,Grape___Esca_(Black_Measles),63.3,1
25.9,48.0,0.0,1.3,4,Tomato,Vijayawada,Andhra Pradesh,16.5,80.64,0,1,4.6,1,42.9,3.9,3.2,3.8,6.2,81.6,1,0,alluvial,1012,Tomato___Tomato_mosaic_virus,78.9,1
23.9,66.5,0.5,16.7,9,Cherry,Surat,Gujarat,21.17,72.83,8,2,2.4,0,51.5,9.6,14.6,1.4,6.2,120.0,2,0,alluvial,1168,Cherry_(including_sour)___Powdery_mildew,27.2,1
12.6,64.6,3.7,5.1,10,Potato,Kota,Rajasthan,25.18,75.83,5,1,3.6,1,55.4,0.0,4.7,4.8,6.7,192.8,2,0,black_cotton,680,Potato___healthy,0.0,0
29.8,45.3,7.7,7.5,3,Grape,Kolhapur,Maharashtra,16.7,74.24,4,1,1.9,0,43.0,2.0,29.1,3.2,6.8,84.8,2,1,red_laterite,1052,Grape___Esca_(Black_Measles),52.2,1
23.0,51.3,19.0,3.9,3,Pepper,Kullu,Himachal Pradesh,31.95,77.1,3,0,4.1,0,53.7,3.5,9.6,1.1,6.74,179.8,2,0,red_laterite,1262,"Pepper,_bell___healthy",0.0,0
14.0,51.4,17.2,9.0,12,Potato,Muzaffarpur,Bihar,26.12,85.36,1,0,6.5,0,52.7,2.2,6.7,3.3,6.2,208.1,2,0,alluvial,1068,Potato___healthy,0.0,0
31.7,15.3,0.0,6.9,4,Tomato,Ahmedabad,Gujarat,23.02,72.57,0,0,1.0,0,23.0,4.9,43.2,1.5,6.85,58.2,2,1,black_cotton,782,Tomato___Spider_mites Two-spotted_spider_mite,64.8,1
20.2,74.0,45.2,16.1,7,Corn,Dharamsala,Himachal Pradesh,32.21,76.32,1,4,13.0,8,70.2,5.1,4.0,7.9,6.65,149.5,2,1,red_laterite,2542,Corn_(maize)___Northern_Leaf_Blight,57.5,1
24.1,60.6,9.2,10.8,10,Blueberry,Gaya,Bihar,24.79,84.99,2,1,3.6,0,65.0,17.7,8.8,1.4,6.2,142.4,2,0,alluvial,968,Blueberry___healthy,0.0,0
17.6,59.8,13.8,6.6,1,Strawberry,Siliguri,West Bengal,26.72,88.43,3,3,2.9,2,47.9,3.6,3.3,2.7,6.4,92.5,2,0,alluvial,2888,Strawberry___healthy,0.0,0
25.4,89.8,49.1,16.5,9,Pepper,Solapur,Maharashtra,17.66,75.9,7,1,10.6,2,70.0,4.2,0.7,8.5,7.05,192.1,2,1,black_cotton,520,"Pepper,_bell___Bacterial_spot",44.3,1
30.6,54.7,10.4,4.9,12,Tomato,Ahmedabad,Gujarat,23.02,72.57,1,2,1.8,1,45.3,11.7,18.7,1.7,7.38,80.0,1,1,black_cotton,782,Tomato___Tomato_Yellow_Leaf_Curl_Virus,75.2,1
17.3,90.2,32.5,6.5,4,Apple,Solan,Himachal Pradesh,30.9,77.1,3,3,21.4,13,98.4,6.7,1.1,9.5,6.28,204.0,1,1,red_laterite,1106,Apple___Apple_scab,45.2,1
14.9,87.2,19.0,13.8,8,Tomato,Nagpur,Maharashtra,21.14,79.08,1,0,10.4,5,81.0,4.8,1.2,6.3,6.7,222.5,3,1,black_cotton,1025,Tomato___Late_blight,90.3,1
20.1,59.9,17.6,2.7,1,Apple,Bangalore,Karnataka,12.97,77.59,2,1,4.4,2,54.8,5.6,5.9,1.0,5.9,125.0,2,0,red_laterite,948,Apple___healthy,0.0,0
31.1,86.6,23.3,6.6,8,Tomato,Mysore,Karnataka,12.29,76.64,3,1,10.9,5,61.8,8.7,4.0,5.3,6.8,124.3,3,1,red_laterite,752,Tomato___Target_Spot,49.0,1
30.4,81.8,17.7,14.1,5,Tomato,Visakhapatnam,Andhra Pradesh,17.68,83.21,1,0,7.1,5,73.5,12.6,4.4,4.9,6.72,163.1,3,1,red_laterite,1012,Tomato___Target_Spot,54.7,1
33.2,81.1,9.1,23.6,8,Pepper,Bangalore,Karnataka,12.97,77.59,2,0,10.7,4,68.2,14.7,1.2,5.6,6.21,156.2,2,1,red_laterite,948,"Pepper,_bell___Bacterial_spot",61.2,1
28.7,78.1,67.5,5.5,3,Orange,Ludhiana,Punjab,30.9,75.85,3,2,11.1,1,59.2,3.8,4.3,4.6,6.2,174.2,2,1,alluvial,712,Orange___Haunglongbing_(Citrus_greening),78.0,1
19.4,85.4,31.8,17.1,9,Apple,Shimla,Himachal Pradesh,31.1,77.17,8,2,13.7,4,64.1,2.8,5.2,4.8,5.89,112.8,3,1,red_laterite,1575,Apple___Black_rot,23.8,1
27.6,61.5,5.6,19.1,5,Squash,Nagpur,Maharashtra,21.14,79.08,1,2,3.2,0,54.0,11.9,18.6,1.0,7.14,238.5,2,1,black_cotton,1025,Squash___Powdery_mildew,37.8,1
21.2,67.9,11.5,3.3,10,Pepper,Chennai,Tamil Nadu,13.08,80.27,3,1,6.9,2,49.3,0.9,6.6,1.2,6.8,188.5,2,0,red_laterite,1398,"Pepper,_bell___healthy",0.0,0
14.0,60.7,8.2,10.0,5,Raspberry,Patna,Bihar,25.59,85.13,5,0,4.4,1,51.6,6.6,5.4,2.4,6.34,96.4,2,0,alluvial,1122,Raspberry___healthy,0.0,0
35.2,60.1,5.1,11.6,11,Tomato,Solapur,Maharashtra,17.66,75.9,2,3,1.7,1,33.2,12.5,21.2,2.7,6.7,115.4,1,1,black_cotton,520,Tomato___Tomato_Yellow_Leaf_Curl_Virus,64.5,1
16.9,94.7,47.9,8.5,10,Tomato,Kullu,Himachal Pradesh,31.95,77.1,0,2,14.8,5,86.0,7.2,1.1,5.0,6.02,257.8,3,1,red_laterite,1262,Tomato___Late_blight,86.2,1
21.7,92.0,7.9,7.8,10,Tomato,Bhubaneswar,Odisha,20.29,85.82,0,0,15.9,7,73.8,4.0,0.6,7.6,6.43,181.3,3,1,red_laterite,1482,Tomato___Leaf_Mold,52.4,1
25.6,54.4,13.7,5.4,5,Potato,Ludhiana,Punjab,30.9,75.85,2,2,3.9,0,57.9,12.6,11.7,2.5,6.2,154.6,2,0,alluvial,712,Potato___healthy,0.0,0
26.7,59.6,13.0,2.3,1,Peach,Kota,Rajasthan,25.18,75.83,0,3,4.5,2,54.0,15.5,3.5,4.5,6.95,122.4,2,0,black_cotton,680,Peach___healthy,0.0,0
22.0,61.6,18.3,8.1,10,Strawberry,Meerut,Uttar Pradesh,28.98,77.7,1,2,3.7,1,57.2,12.8,5.0,1.1,6.39,161.8,2,0,alluvial,814,Strawberry___healthy,0.0,0
14.8,89.6,61.0,2.6,7,Potato,Shimla,Himachal Pradesh,31.1,77.17,1,0,14.1,5,90.4,10.0,0.8,8.6,5.41,257.2,3,1,red_laterite,1575,Potato___Late_blight,100.0,1
26.0,78.1,29.0,2.4,7,Apple,Dharamsala,Himachal Pradesh,32.21,76.32,2,1,8.8,7,65.9,9.3,5.5,4.2,5.89,125.5,3,1,red_laterite,2542,Apple___Black_rot,62.8,1
22.9,69.8,24.3,3.4,3,Pepper,Ranchi,Jharkhand,23.34,85.31,5,2,7.1,0,69.7,6.5,8.9,3.5,6.76,131.6,2,0,red_laterite,1430,"Pepper,_bell___healthy",0.0,0
22.3,86.2,36.4,25.8,4,Pepper,Mysore,Karnataka,12.29,76.64,3,0,8.8,3,59.2,2.6,0.2,8.3,6.8,149.2,2,1,red_laterite,752,"Pepper,_bell___Bacterial_spot",62.9,1
22.7,87.5,36.6,3.6,10,Tomato,Varanasi,Uttar Pradesh,25.31,82.97,2,0,6.9,6,57.6,8.9,4.6,5.6,6.2,142.9,2,1,alluvial,1110,Tomato___Septoria_leaf_spot,42.5,1
18.5,57.7,10.2,7.2,12,Potato,Coimbatore,Tamil Nadu,11.01,76.96,0,1,5.1,0,50.3,2.3,5.2,2.4,5.65,168.7,2,0,red_laterite,682,Potato___healthy,0.0,0
26.0,52.1,26.5,3.0,4,Soybean,Nashik,Maharashtra,19.99,73.79,1,3,7.4,0,54.3,6.4,8.0,2.6,6.33,84.8,2,0,red_laterite,620,Soybean___healthy,0.0,0
25.6,76.7,12.0,4.8,6,Cherry,Solan,Himachal Pradesh,30.9,77.1,9,0,3.4,2,47.1,11.6,16.8,1.4,5.8,172.6,2,1,red_laterite,1106,Cherry_(including_sour)___Powdery_mildew,15.0,1
22.1,71.4,7.7,14.6,9,Tomato,Dharwad,Karnataka,15.45,75.01,6,2,7.4,6,59.9,5.6,1.6,6.8,6.8,140.3,3,1,black_cotton,742,Tomato___Target_Spot,39.7,1
22.9,65.9,15.0,2.8,4,Pepper,Pune,Maharashtra,18.52,73.85,1,0,3.2,1,58.1,5.5,7.0,2.1,6.79,146.1,2,0,red_laterite,722,"Pepper,_bell___healthy",0.0,0
28.0,24.6,5.7,1.2,5,Tomato,Amravati,Maharashtra,20.93,77.75,1,2,1.8,0,25.7,0.0,29.1,1.9,6.71,103.7,2,1,black_cotton,788,Tomato___Spider_mites Two-spotted_spider_mite,62.5,1
16.9,53.5,21.5,9.7,12,Peach,Nashik,Maharashtra,19.99,73.79,2,0,1.9,2,57.5,6.6,4.8,4.9,6.02,163.5,2,0,red_laterite,620,Peach___healthy,0.0,0
27.6,81.6,9.3,9.2,3,Pepper,Coimbatore,Tamil Nadu,11.01,76.96,0,1,10.8,5,70.7,4.2,0.2,5.7,6.3,156.5,2,1,red_laterite,682,"Pepper,_bell___Bacterial_spot",68.8,1
14.0,70.6,6.5,2.8,5,Apple,Udaipur,Rajasthan,24.57,73.68,4,4,1.8,1,44.9,0.3,11.7,2.0,5.54,159.5,2,0,red_laterite,612,Apple___healthy,0.0,0
18.9,74.6,10.9,19.5,7,Apple,Dharamsala,Himachal Pradesh,32.21,76.32,3,1,7.9,4,76.8,0.2,6.4,7.1,5.74,155.5,3,1,red_laterite,2542,Apple___Black_rot,47.6,1
20.4,40.0,14.1,6.3,7,Grape,Nashik,Maharashtra,19.99,73.79,3,0,3.8,0,48.5,5.4,5.3,1.5,5.9,179.6,2,0,red_laterite,620,Grape___healthy,0.0,0
25.8,62.4,13.9,9.4,6,Grape,Burdwan,West Bengal,23.23,87.85,2,0,3.9,0,57.1,12.0,3.8,3.0,6.85,125.0,2,0,alluvial,1428,Grape___healthy,0.0,0
21.2,61.1,7.2,10.9,1,Potato,Kolhapur,Maharashtra,16.7,74.24,3,0,7.7,1,49.3,9.2,5.3,4.1,5.19,135.5,2,0,red_laterite,1052,Potato___healthy,0.0,0
15.3,95.1,11.4,13.1,1,Wheat,Bhopal,Madhya Pradesh,23.25,77.41,6,0,4.9,2,59.0,4.0,3.6,7.1,6.91,140.7,2,1,black_cotton,1146,Wheat___Leaf_rust,55.8,1
23.9,77.9,38.4,9.6,4,Peach,Shimla,Himachal Pradesh,31.1,77.17,0,1,7.5,4,63.9,2.3,0.2,6.3,6.8,183.5,2,1,red_laterite,1575,Peach___Bacterial_spot,69.6,1
23.2,51.4,17.7,13.8,3,Soybean,Bhubaneswar,Odisha,20.29,85.82,1,0,7.1,1,55.2,4.2,4.2,2.6,6.7,132.3,2,0,red_laterite,1482,Soybean___healthy,0.0,0
26.3,91.6,10.4,4.0,10,Tomato,Bhubaneswar,Odisha,20.29,85.82,1,1,12.9,4,95.5,11.2,0.6,7.7,6.27,148.5,3,1,red_laterite,1482,Tomato___Leaf_Mold,40.3,1
14.6,92.3,22.2,10.4,10,Potato,Kullu,Himachal Pradesh,31.95,77.1,2,1,12.2,8,97.6,3.9,1.7,6.8,5.72,206.5,3,1,red_laterite,1262,Potato___Late_blight,79.9,1
13.1,96.1,13.5,2.3,3,Apple,Solan,Himachal Pradesh,30.9,77.1,6,4,8.4,4,88.5,6.2,1.1,11.4,6.02,166.9,1,1,red_laterite,1106,Apple___Apple_scab,46.8,1
19.9,60.1,17.3,7.3,7,Raspberry,Pune,Maharashtra,18.52,73.85,6,3,6.5,0,62.8,5.8,5.5,3.2,6.34,94.5,2,0,red_laterite,722,Raspberry___healthy,0.0,0
10.5,94.4,47.6,14.9,11,Potato,Siliguri,West Bengal,26.72,88.43,2,3,13.7,14,95.2,2.0,0.3,10.0,6.2,198.9,3,1,alluvial,2888,Potato___Late_blight,80.6,1
21.5,62.6,6.9,3.4,8,Pepper,Solapur,Maharashtra,17.66,75.9,2,2,2.7,1,62.8,5.4,9.6,3.1,6.7,198.3,2,0,black_cotton,520,"Pepper,_bell___healthy",0.0,0
30.5,77.7,57.5,18.2,7,Orange,Jabalpur,Madhya Pradesh,23.18,79.94,9,0,6.1,3,72.3,6.9,6.4,6.0,6.32,85.0,2,1,red_laterite,1310,Orange___Haunglongbing_(Citrus_greening),44.9,1
17.3,68.0,16.8,4.8,8,Blueberry,Varanasi,Uttar Pradesh,25.31,82.97,2,0,1.9,0,60.7,0.8,8.2,1.4,6.2,154.2,2,0,alluvial,1110,Blueberry___healthy,0.0,0
22.0,67.8,24.2,4.8,5,Apple,Burdwan,West Bengal,23.23,87.85,0,1,4.6,2,46.3,6.2,9.9,4.2,6.47,92.3,2,0,alluvial,1428,Apple___healthy,0.0,0
29.5,89.9,47.3,28.4,4,Pepper,Coimbatore,Tamil Nadu,11.01,76.96,4,1,13.5,4,68.9,7.1,0.4,8.6,6.53,194.9,2,1,red_laterite,682,"Pepper,_bell___Bacterial_spot",42.2,1
20.0,67.6,14.6,4.7,1,Blueberry,Nagpur,Maharashtra,21.14,79.08,2,3,5.0,0,52.4,11.7,11.6,3.6,6.7,70.7,2,0,black_cotton,1025,Blueberry___healthy,0.0,0
19.3,77.2,3.6,13.2,8,Tomato,Chennai,Tamil Nadu,13.08,80.27,1,0,6.6,2,69.2,0.0,4.7,5.5,6.8,206.0,3,1,red_laterite,1398,Tomato___Target_Spot,65.0,1
20.3,91.2,4.2,2.5,10,Tomato,Muzaffarpur,Bihar,26.12,85.36,2,1,20.1,13,72.9,7.1,4.0,10.6,6.22,259.3,3,1,alluvial,1068,Tomato___Leaf_Mold,37.3,1
21.9,56.5,4.6,8.0,9,Pepper,Mysore,Karnataka,12.29,76.64,2,1,3.0,0,53.7,0.1,5.1,3.1,6.64,165.2,2,0,red_laterite,752,"Pepper,_bell___healthy",0.0,0
30.0,96.2,15.1,16.9,7,Apple,Kullu,Himachal Pradesh,31.95,77.1,2,3,14.4,4,79.3,9.2,5.2,3.0,6.24,101.6,3,1,red_laterite,1262,Apple___Black_rot,52.2,1
22.1,72.0,16.6,6.3,8,Blueberry,Dharamsala,Himachal Pradesh,32.21,76.32,4,0,3.2,2,60.1,12.2,7.4,4.7,4.7,130.5,2,0,red_laterite,2542,Blueberry___healthy,0.0,0
30.8,92.9,29.8,23.2,3,Tomato,Dharwad,Karnataka,15.45,75.01,4,1,8.2,2,60.7,9.4,0.0,5.3,7.45,151.9,2,1,black_cotton,742,Tomato___Bacterial_spot,57.3,1
23.9,84.2,20.4,14.9,8,Strawberry,Solan,Himachal Pradesh,30.9,77.1,0,0,13.3,3,61.4,6.0,6.9,3.3,5.58,135.7,2,1,red_laterite,1106,Strawberry___Leaf_scorch,55.5,1
22.3,95.3,47.4,10.2,8,Corn,Gaya,Bihar,24.79,84.99,2,3,14.4,6,91.9,2.6,2.8,12.1,6.2,171.6,3,0,alluvial,968,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,48.0,1
29.2,68.5,11.2,7.7,11,Soybean,Jabalpur,Madhya Pradesh,23.18,79.94,9,0,2.8,2,52.5,9.0,7.3,1.8,6.13,92.7,2,0,red_laterite,1310,Soybean___healthy,0.0,0
12.5,51.6,4.8,6.2,6,Strawberry,Meerut,Uttar Pradesh,28.98,77.7,0,1,3.3,0,43.4,3.1,10.4,1.0,6.5,138.7,2,0,alluvial,814,Strawberry___healthy,0.0,0
13.8,73.9,7.5,6.5,4,Blueberry,Gwalior,Madhya Pradesh,26.22,78.18,2,1,0.7,0,61.8,0.6,10.1,2.2,6.2,124.4,2,0,alluvial,762,Blueberry___healthy,0.0,0
24.7,46.1,9.7,9.7,6,Apple,Madurai,Tamil Nadu,9.93,78.12,2,2,5.7,0,46.7,11.6,10.4,2.9,6.7,150.9,2,0,black_cotton,924,Apple___healthy,0.0,0
22.3,85.4,14.1,9.7,5,Strawberry,Kullu,Himachal Pradesh,31.95,77.1,7,0,11.0,3,70.6,10.4,7.9,4.0,5.83,107.3,2,1,red_laterite,1262,Strawberry___Leaf_scorch,32.9,1
19.3,70.8,16.8,23.2,5,Apple,Dharamsala,Himachal Pradesh,32.21,76.32,1,2,10.9,2,65.2,9.9,2.7,6.4,6.01,95.4,1,1,red_laterite,2542,Apple___Cedar_apple_rust,41.4,1
28.4,100.0,27.8,8.2,9,Corn,Warangal,Telangana,17.97,79.59,0,3,17.3,10,69.4,8.9,2.8,6.2,6.7,95.0,3,1,black_cotton,1058,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,56.3,1
20.3,81.3,17.9,12.4,6,Tomato,Nashik,Maharashtra,19.99,73.79,2,0,9.6,3,67.7,4.9,1.7,7.2,6.26,167.5,2,1,red_laterite,620,Tomato___Septoria_leaf_spot,51.6,1
25.9,78.2,5.4,15.6,6,Tomato,Dharwad,Karnataka,15.45,75.01,5,0,9.6,1,62.8,6.5,4.3,6.0,6.71,152.7,2,1,black_cotton,742,Tomato___Early_blight,48.6,1
13.9,94.0,59.3,7.9,1,Potato,Solan,Himachal Pradesh,30.9,77.1,1,1,16.5,7,91.1,9.9,1.4,7.4,4.89,202.3,3,1,red_laterite,1106,Potato___Late_blight,74.5,1
30.7,78.6,22.8,11.0,8,Tomato,Dharwad,Karnataka,15.45,75.01,0,0,9.4,5,67.7,12.1,0.9,4.9,6.7,133.9,2,1,black_cotton,742,Tomato___Bacterial_spot,52.2,1
21.0,49.1,9.4,9.9,8,Peach,Udaipur,Rajasthan,24.57,73.68,0,0,5.4,1,41.0,8.5,5.6,2.5,6.3,176.3,2,0,red_laterite,612,Peach___healthy,0.0,0
17.3,73.4,18.3,9.7,2,Potato,Warangal,Telangana,17.97,79.59,1,1,2.3,2,52.7,6.7,9.2,1.8,6.7,159.6,2,0,black_cotton,1058,Potato___healthy,0.0,0
14.3,78.4,38.4,2.3,10,Tomato,Kolhapur,Maharashtra,16.7,74.24,5,0,9.1,4,66.1,0.0,4.6,7.0,6.58,161.1,2,1,red_laterite,1052,Tomato___Septoria_leaf_spot,43.0,1
9.5,97.5,76.7,1.7,9,Potato,Kolkata,West Bengal,22.57,88.36,7,0,20.0,5,92.7,4.9,0.2,5.4,6.2,241.5,3,1,alluvial,1582,Potato___Late_blight,53.0,1
27.0,80.4,17.5,13.0,9,Tomato,Chennai,Tamil Nadu,13.08,80.27,4,0,12.9,5,62.9,5.3,3.4,7.8,5.93,137.1,3,1,red_laterite,1398,Tomato___Target_Spot,45.3,1
24.8,59.7,17.3,2.4,6,Pepper,Pune,Maharashtra,18.52,73.85,4,1,5.5,0,55.1,2.9,8.8,4.7,6.03,184.7,2,0,red_laterite,722,"Pepper,_bell___healthy",0.0,0
